Seller Name,# Depop Followers,# Items Sold,# Reviews,Social Media Link,Depop Store Link,Store Description
@kre8customs,12500.0,1107,612,https://www.instagram.com/kre8.lucy,https://www.depop.com/kre8customs/,"Custom Turnaround time : 3-4 weeks
Worldwide Shipping
Custom Requests Available"
@casualstrainersandclothing,1164.0,887,199,,https://www.depop.com/casualstrainersandclothing/,Sorry for any international postal delays in the last month due to strikes by Royal Mail and Customs staff.
@dedicateddrip,18200.0,1633,965,https://www.instagram.com/dedictdstudio,https://www.depop.com/dedicateddrip/,"We ship worldwide 🌎 Allow 6/7 days postage, No refunds"
@viaduct,9250.0,1884,632,,https://www.depop.com/viaduct/,"🥷 Experts In Deadstock & Vintage Clothing
📫 Free UK postage on bundles
🤝 DM For Offers
✈️ International Shipping"
@wavyting,11500.0,1449,685,https://www.instagram.com/wavyting/,https://www.depop.com/wavyting/,"UK STREETWEAR BRAND

✭Worldwide Shipping

✭ Message 4 Bundles = Save £$€ 

✭ All Sales Final 

✭ IG @devontajj"
@payne1968,346.0,539,132,,https://www.depop.com/payne1968/,
@lewkicks_,4238.0,1063,604,https://instagram.com/lewkicks_,https://www.depop.com/lewkicks_/,Provide fast shipping and a well engaging service. All shoes are 100% authentic. Reputable and TRUSTED seller. No Returns.
@albertomunez,915.0,262,112,,https://www.depop.com/albertomunez/,"All products are genuine | Open to Bundle Deals
No Returns ❌ 
Message me if you have any questions 
5 ⭐️ Reviews"
@rickztp1,2782.0,1265,788,,https://www.depop.com/rickztp1/,"Men's 👨🏽 Women's 👩🏽 Kids 🙋🏽‍♂️
No Returns
⛔️No Offers ⛔️No Trades ⛔️No Time Wasters
European 🇪🇺 GlobalShipment 🌎"
@kylealexanderwilson,161.0,80,61,,https://www.depop.com/kylealexanderwilson/,
@amte,3120.0,1042,443,https://airmaxte.com/,https://www.depop.com/amte/,"🌐 Click buy now to purchase 
🌐 Over 1000 sold items !
🌐 Hit me up on insta ! @ airmaxte
🌐 Check out the website ↙️"
@swaggrey96,784.0,54,80,,https://www.depop.com/swaggrey96/,I ship internationally 🌎 Selling mostly older pre owned kicks!
