Seller Name,# Depop Followers,# Items Sold,# Reviews,Star Rating,Social Media Link,Depop Store Link
@ricksretro,"67,400 ","23,472 ","11,456 ",5,http://www.RicksRetro.co.uk,https://www.depop.com/ricksretro/
@framedshop,"13,000 ","19,843 ","7,090 ",4.85,,https://www.depop.com/framedshop/
@twinklecouture,"30,800 ","14,031 ","7,340 ",5,https://www.instagram.com/twinklecouture/,https://www.depop.com/twinklecouture/
@weargarson,"92,700 ","9,098 ","3,618 ",4.9,https://www.instagram.com/weargarson/,https://www.depop.com/weargarson/
@johnsvintage,"50,400 ","7,340 ","3,158 ",4.7,https://instagram.com/johnsvintage,https://www.depop.com/johnsvintage/
@bensbits,"38,400 ","5,933 ","2,498 ",4.95,http://Instagram.com/bensbits_,https://www.depop.com/bensbits/
@tb_ninetees,"10,200 ","5,725 ","1,820 ",5,https://www.instagram.com/tbninetees,https://www.depop.com/tb_ninetees/
@ragzforlife,"11,500 ","5,090 ","1,593 ",5,https://instagram.com/ragzforlife,https://www.depop.com/ragzforlife/
@loose___threads,"17,000 ","3,991 ","1,499 ",4.9,,https://www.depop.com/loose___threads/
@kentarovintage,"21,800 ","3,634 ","1,874 ",4.95,https://www.instagram.com/kentarovintage/?hl=en,https://www.depop.com/kentarovintage/
@worldgonemad,"18,700 ","3,417 ","1,414 ",4.55,https://www.tiktok.com/@worldgonemadstore?_t=8bgewMC0Qby&_r=1,https://www.depop.com/worldgonemad/
@gonzsgarms,"55,900 ","3,222 ","1,303 ",5,https://instagram.com/gonzsgarms_?igshid=OGQ5ZDc2ODk2ZA%3D%3D&utm_source=qr,https://www.depop.com/gonzsgarms/
@jpillas42,"35,400 ","3,071 ","1,527 ",5,https://instagram.com/johannpillas,https://www.depop.com/jpillas42/
@harveybetts_garms,"10,200 ","2,792 ","1,806 ",5,,https://www.depop.com/harveybetts_garms/
@imasher,"5,678 ","2,745 ","1,291 ",4.7,,https://www.depop.com/imasher/
@pascaleeliza,"59,000 ","2,525 ","1,261 ",5,https://www.pascaleeliza.com,https://www.depop.com/pascaleeliza/
@urbanmassif,"59,500 ","2,515 ","1,877 ",5,http://Instagram.com/urbanmassif,https://www.depop.com/urbanmassif/
@misternmiss,"11,400 ","2,443 ","1,577 ",4.95,http://www.misternmiss.com,https://www.depop.com/misternmiss/
@drshoell,"26,100 ","2,435 ",622 ,4.75,https://tiktok.com/@drshoellondepop?_t=8bLg1UBcM6v&_r=1,https://www.depop.com/drshoell/
@jbswardrobe,"8,821 ","2,380 ","1,122 ",5,https://instagram.com/_jbswardrobe,https://www.depop.com/jbswardrobe/
@stingrayvintage,"3,218 ","2,264 ",754 ,4.95,https://linktr.ee/stingrayvintage,https://www.depop.com/stingrayvintage/
@phoenixvintage_,"18,400 ","2,123 ",911 ,5,https://www.instagram.com/phoenixvintage__/,https://www.depop.com/phoenixvintage_/
@antipodean,"8,014 ","2,122 ",722 ,5,https://www.instagram.com/antipodian_,https://www.depop.com/antipodean/
@siplummer,"16,700 ","2,107 ","1,302 ",4.8,https://instagram.com/pdg_archive,https://www.depop.com/siplummer/
@fordgarmz,"21,400 ","2,066 ","1,194 ",4.55,https://www.fordgarmz.co.uk,https://www.depop.com/fordgarmz/
@whitewine,"7,770 ","1,943 ",996 ,4.9,https://instagram.com/whitewinestreetwear,https://www.depop.com/whitewine/
@freezysarchive,"3,803 ","1,929 ","1,340 ",5,,https://www.depop.com/freezysarchive/
@viaduct,"9,250 ","1,884 ",632 ,4.55,,https://www.depop.com/viaduct/
